,code,decileMarch20,decileMarch24,scoreMarch20,scoreMarch24,score_change,score_change_code
29182,E01030486,8,8,36.9044727,34.99848215,-5.164660035,4
13052,E01008212,3,3,22.9687285,21.782491,-5.16457625,4
22064,E01032191,6,6,29.2912179,27.77869279,-5.163749482,4
8633,E01002095,2,2,19.9952947,18.96281193,-5.163628679,4
15893,E01008483,4,4,24.9003868,23.61462858,-5.163607429,4
18801,E01008872,5,5,26.8700663,25.48273203,-5.163121873,4
27748,E01000806,8,7,34.8587313,33.05962632,-5.161131544,4
32397,E01011462,9,9,45.1211141,42.79239736,-5.161035558,4
30447,E01006040,9,8,39.2712362,37.24451266,-5.160834575,4
20082,E01016349,5,5,27.8032541,26.36841914,-5.160672742,4
9692,E01007351,2,2,20.7241473,19.65486597,-5.159591451,4
20445,E01004028,6,5,28.0664192,26.61877378,-5.157927036,4
4081,E01034617,1,1,16.1753101,15.34111058,-5.157239758,4
18319,E01011666,5,5,26.5369971,25.1685391,-5.156792962,4
21209,E01022542,6,6,28.6492922,27.17223036,-5.155666073,4
6785,E01003718,2,2,18.632192,17.67185352,-5.154189484,4
9855,E01013898,2,3,20.8238046,19.75087228,-5.152431761,4
31721,E01031921,9,9,42.5090606,40.31944618,-5.150935798,4
10112,E01026600,2,3,20.9958942,19.91444592,-5.150760767,4
2004,E01002487,0,0,13.4890098,12.79438456,-5.149564345,4
27634,E01014675,8,7,34.7330543,32.9445496,-5.149287152,4
28616,E01023123,8,8,36.0506107,34.19485886,-5.147629425,4
25183,E01023459,7,7,32.0837799,30.43272502,-5.146073452,4
4857,E01007593,1,1,16.9274071,16.05636898,-5.145726766,4
4205,E01007822,1,1,16.3257475,15.48570688,-5.145495575,4
25370,E01018143,7,7,32.2425581,30.58356702,-5.145345706,4
3031,E01021832,0,1,14.9800642,14.20934487,-5.144966788,4
12975,E01007832,3,3,22.914463,21.73559301,-5.144654656,4
25737,E01008323,7,7,32.6016249,30.9248081,-5.14335344,4
27282,E01023538,8,7,34.3144253,32.54961958,-5.143043209,4
2645,E01001486,0,0,14.468801,13.72480208,-5.142091057,4
30941,E01035158,9,8,40.3966151,38.32024462,-5.139961544,4
11773,E01009243,3,3,22.1045085,20.96854532,-5.139056487,4
28875,E01018380,8,8,36.4323003,34.56038295,-5.138070719,4
22295,E01010225,6,6,29.4591945,27.94667814,-5.134276031,4
7589,E01009814,2,2,19.2279813,18.24096293,-5.133239704,4
23695,E01028730,7,6,30.6687895,29.09451849,-5.133137108,4
8179,E01015750,2,2,19.6536383,18.64482621,-5.132953348,4
29355,E01003221,8,8,37.177988,35.26987034,-5.132385485,4
33065,E01006117,9,9,49.1265207,46.60573179,-5.131218073,4
9843,E01009797,2,3,20.8141473,19.74646651,-5.129591763,4
16863,E01016374,4,4,25.5197372,24.2107974,-5.129127289,4
31394,E01025444,9,9,41.51919,39.3897563,-5.128793928,4
19728,E01005677,5,5,27.5536765,26.14098511,-5.127052261,4
25873,E01013575,7,7,32.7360429,31.05786462,-5.126393199,4
23875,E01029758,7,6,30.829708,29.24951085,-5.12556639,4
31433,E01031685,9,9,41.5984793,39.46706181,-5.123787027,4
18877,E01007602,5,5,26.9174095,25.53883684,-5.121490821,4
27945,E01023898,8,8,35.1403215,33.341198,-5.119826515,4
1687,E01011978,0,0,12.8982044,12.23820989,-5.116948751,4
